Original_Index,DOI,Material_Name,Chemical_Formula,Publication_Year,RS,P1,P2,P3,C1,C2,C3,Molar_Mass,element_counts,AF_1,AF_2,AF_3,AF_4,AF_5,AF_6,AF_7,AF_8,AF_9,AF_10,AF_11,AF_12,AF_13,AF_14,AF_15,AF_16,AF_17,AF_18,AF_19,AF_20,AF_21,AF_22,AF_23,AF_24,AF_25,AF_26,AF_27,AF_28,AF_29,AF_30,AF_31,AF_32,AF_33,AF_34,AF_35,AF_36,AF_37,AF_38,AF_39,AF_40,AF_41,AF_42,AF_43,AF_44,AF_45,AF_46,AF_47,AF_48,AF_49,AF_50,AF_51,AF_52,AF_53,AF_54,AF_55,AF_56,AF_57,AF_58,AF_59,AF_60,AF_61,AF_62,AF_63,AF_64,AF_65,AF_66,AF_67,AF_68,AF_69,AF_70,AF_71,AF_72,AF_73,AF_74,AF_75,AF_76,AF_77,AF_78,AF_79,AF_80,AF_81,AF_82,AF_83,AF_84,AF_85,AF_86,AF_87,AF_88,AF_89,AF_90,AF_91,AF_92,AF_93,AF_94,AF_95,AF_96,AF_97,AF_98,AF_99,AF_100,AF_101,AF_102,AF_103,AF_104,AF_105,AF_106,AF_107,AF_108,AF_109,AF_110,AF_111,AF_112,AF_113,AF_114,AF_115,AF_116,AF_117,AF_118,atomic_fraction_sum
23338,10.1103/PhysRevMaterials.9.034413,MnAl,MnAl,2025,0.6687003131235194,653.15,1.04,0.47,1,0.5,0.6,81.92,"{'Mn': 1.0, 'Al': 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2965,10.1016/j.jmrt.2024.11.181,DMP Ce magnet,Pr4.575Nd4.575Ce12.2Fe67.55Co0.25Cu0.25Ga0.25Al0.25B0.95,2024,1.0,540.9,1.273,0.75,1,1.0,1.0,6851.4205,"{'Pr': 4.575, 'Nd': 4.575, 'Ce': 12.2, 'Fe': 67.55, 'Co': 0.25, 'Cu': 0.25, 'Ga': 0.25, 'Al': 0.25, 'B': 0.95}",0.0,0.0,0.0,0.0,0.010456796917996699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275178866263071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7435332966428179,0.00275178866263071,0.0,0.00275178866263071,0.0,0.00275178866263071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13428728673637866,0.050357732526142,0.050357732526142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1047,10.1016/j.jmmm.2024.172316,Gd-substituted Nd-Pr-Fe-B,((Nd0.8Pr0.2)0.4Gd0.6)14.3Fe76.9B5.9Gd2.9,2024,1.0,643.0,0.535950680154173,1.2800000000000002,1,1.0,1.0,69.8473278,"{'Nd': 4.576, 'Pr': 1.144, 'Gd': 11.48, 'Fe': 76.9, 'B': 5.9}",0.0,0.0,0.0,0.0,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011439999999999999,0.045759999999999995,0.0,0.0,0.0,0.1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1043,10.1016/j.jmmm.2024.172281,NdFeB,Nd15.10Pr15.10Dy1.80Fe65.42Co1.20Cu0.15Al0.25B0.98,2024,1.0,583.0,1.354,2.079,1,1.0,1.0,83.49235699999998,"{'Nd': 15.1, 'Pr': 15.1, 'Dy': 1.8, 'Fe': 65.42, 'Co': 1.2, 'Cu': 0.15, 'Al': 0.25, 'B': 0.98}",0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6542,0.012,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.151,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
742,10.1016/j.jre.2023.10.023,Nd28.5Dy3Co6Fe_balM0.6B1,Nd2.137Dy0.200Co1.102Fe11.78B1Al0.240Zr0.014,2024,0.8405652371431984,636.4,1.293,2.504,1,1.0,0.6,1082.1019619999995,"{'Nd': 2.137, 'Dy': 0.2, 'Co': 1.102, 'Fe': 11.78, 'B': 1.0, 'Al': 0.24, 'Zr': 0.014}",0.0,0.0,0.0,0.0,0.0607053967097675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145692952103442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7151095732410612,0.06689734717416379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000849875553936745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12972743276877316,0.0,0.0,0.0,0.0,0.0,0.012141079341953501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
743,10.1016/j.jre.2023.10.023,Nd28.5Dy3Co12Fe_balM0.6B1,Nd2.137Dy0.200Co2.206Fe10.59B1Al0.240Zr0.014,2024,0.8405652371431984,706.3,1.294,2.0660000000000003,1,1.0,0.6,1080.708444,"{'Nd': 2.137, 'Dy': 0.2, 'Co': 2.206, 'Fe': 10.59, 'B': 1.0, 'Al': 0.24, 'Zr': 0.014}",0.0,0.0,0.0,0.0,0.06102398242509306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014645755782022334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6462439738817355,0.13461890522975528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008543357539513029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13040825044242388,0.0,0.0,0.0,0.0,0.0,0.012204796485018612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
734,10.1016/j.jre.2023.08.008,PrFeB/Alnico,Pr26.68Fe72.30B1.02,2024,0.8405652371431984,655.0,1.02,0.4153185488045706,1,1.0,0.6,78.080985,"{'Pr': 26.68, 'Fe': 72.3, 'B': 1.02}",0.0,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5120,10.1016/j.intermet.2023.108158,Nd-Fe-B with DyCo diffusion,Dy1.0Nd1.0Fe14B,2024,0.8405652371431984,647.0,1.33,1.9766900976386976,1,1.0,0.6,1099.38,"{'Dy': 1.0, 'Nd': 1.0, 'Fe': 14.0, 'B': 1.0}",0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2967,10.1016/j.jmrt.2024.11.181,GBDP PTA magnet,(Nd0.25Pr0.25Ce025Tb0.25)2Fe14B,2024,1.0,550.2,1.2720000000000002,1.6370000000000002,1,1.0,1.0,8020.68,"{'Nd': 0.5, 'Pr': 0.5, 'Ce': 50.0, 'Tb': 0.5, 'Fe': 14.0, 'B': 1.0}",0.0,0.0,0.0,0.0,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7518796992481203,0.007518796992481203,0.007518796992481203,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2966,10.1016/j.jmrt.2024.11.181,GBDP TA magnet,(Nd0.25Pr0.25Ce025Tb0.25)2Fe14B,2024,1.0,544.6,1.2720000000000002,1.319,1,1.0,1.0,8020.68,"{'Nd': 0.5, 'Pr': 0.5, 'Ce': 50.0, 'Tb': 0.5, 'Fe': 14.0, 'B': 1.0}",0.0,0.0,0.0,0.0,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7518796992481203,0.007518796992481203,0.007518796992481203,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
